P_Tx_dBm;L_cable;shadow_std;lat;lon;ci;distance;rsrpPhone;rsrpLos;rsrpNlos;rsrpLosLib;rsrpNlosLib;diff_nlos;diff_nlos_lib
40;3;8;55.0131419;82.9531557;138256652;163.862894674197;-74;-45.2642677398438;-77.5618185682442;-45.2642517549017;-70.9375331018646;3.56181856824416;-3.06246689813538
40;3;8;55.0131182;82.9532393;138256652;169.568072161621;-74;-45.5848902385286;-52.2560069234615;-45.5848716056344;-94.4406703825081;-21.7439930765385;20.4406703825081
40;3;8;55.0131182;82.9532393;138256652;169.568072161621;-74;-45.5848902385286;-77.908701978055;-45.5848716056344;-88.0238855809831;3.90870197805498;14.0238855809831
40;3;8;55.0131075;82.9532985;138256652;173.494565115499;-74;-45.7995792260303;-58.4966925151481;-45.7995593859703;-75.4853821987434;-15.5033074848519;1.48538219874338
40;3;8;55.0131043;82.9533237;138256652;175.139108042232;-74;-45.8881098833729;-66.9848536189526;-45.8880896768866;-65.957888165795;-7.01514638104737;-8.04211183420497
40;3;8;55.0130971;82.9533451;138256652;176.626605074136;-74;-45.967498327006;-71.6962918086123;-45.967477323074;-68.2879999876233;-2.30370819138773;-5.71200001237668
40;3;8;55.0130722;82.9533846;138256652;179.625203926501;-74;-46.1255917033307;-73.3716540983839;-46.1255679849534;-79.2891328716185;-0.628345901616072;5.28913287161851
40;3;8;55.0130622;82.9534026;138256652;180.970714471742;-74;-46.1957031793294;-68.2520673329756;-46.1956783765838;-69.3881523023803;-5.74793266702437;-4.61184769761971
40;3;8;55.0130455;82.9534497;138256652;184.289464186409;-74;-46.3665033356868;-56.846163856508;-46.3664767128215;-68.3274265874717;-17.153836143492;-5.67257341252834
40;3;8;55.0130455;82.9534497;138256652;184.289464186409;-74;-46.3665033356868;-71.556854163489;-46.3664767128215;-70.8405267210471;-2.44314583651101;-3.15947327895289
40;3;8;55.0130239;82.9534814;138256652;186.774521782083;-74;-46.4924591854061;-70.220682304733;-46.4924302571373;-71.2970212303985;-3.77931769526704;-2.70297876960151
40;3;8;55.0130239;82.9534814;138256652;186.774521782083;-74;-46.4924591854061;-62.27074816352;-46.4924302571373;-69.2450161029257;-11.72925183648;-4.75498389707428
40;3;8;55.0130061;82.9535056;138256652;188.717578226758;-74;-46.5898176490522;-53.9250955306875;-46.5897868406264;-68.6257859205194;-20.0749044693125;-5.37421407948061
40;3;8;55.0130061;82.9535056;138256652;188.717578226758;-74;-46.5898176490522;-70.5420513912704;-46.5897868406264;-64.4496327632473;-3.45794860872962;-9.55036723675272
40;3;8;55.0129895;82.9535402;138256652;191.287619504674;-74;-46.7171094465223;-71.986515841994;-46.717076880789;-61.5335748817378;-2.01348415800601;-12.4664251182622
40;3;8;55.0129895;82.9535402;138256652;191.287619504674;-74;-46.7171094465223;-75.8982493543891;-46.717076880789;-68.9047029869432;1.89824935438911;-5.09529701305675
40;3;8;55.0129769;82.9535762;138256652;193.847320296755;-74;-46.8422503036587;-77.8970946667762;-46.842216395695;-72.0471416764533;3.89709466677616;-1.95285832354671
40;3;8;55.0129769;82.9535762;138256652;193.847320296755;-74;-46.8422503036587;-67.0253800031624;-46.842216395695;-80.2382589534022;-6.97461999683759;6.23825895340224
40;3;8;55.0129608;82.9536087;138256652;196.287930698044;-74;-46.9600835341826;-72.7859954461803;-46.9600479407635;-85.69647184552;-1.21400455381969;11.69647184552
40;3;8;55.0129608;82.9536087;138256652;196.287930698044;-74;-46.9600835341826;-73.3463413971534;-46.9600479407635;-83.8056499199653;-0.653658602846605;9.80564991996533
40;3;8;55.0129432;82.953652;138256652;199.444738348827;-74;-47.1104007063465;-67.9846296888078;-47.1103632678301;-66.7814162825562;-6.01537031119223;-7.21858371744378
40;3;8;55.0129432;82.953652;138256652;199.444738348827;-74;-47.1104007063465;-71.7317833466296;-47.1103632678301;-79.0378363793289;-2.26821665337042;5.03783637932885
40;3;8;55.012923;82.9536875;138256652;202.201863342265;-74;-47.2398051363775;-86.7295490219557;-47.2397656210315;-75.4808393239079;12.7295490219557;1.48083932390792
40;3;8;55.0129153;82.9537075;138256652;203.65448624583;-74;-47.3072942592098;-81.1210072255735;-47.3072539434223;-86.2974421574914;7.12100722557345;12.2974421574914
40;3;8;55.0129095;82.9537263;138256652;204.979406256793;-74;-47.3684427969015;-62.3406161048465;-47.3684018714811;-66.4545599541846;-11.6593838951535;-7.54544004581544
40;3;8;55.0128967;82.953764;138256652;207.671939677506;-74;-47.4915328251711;-77.7159056064235;-47.4914905651154;-89.0890570624227;3.71590560642355;15.0890570624227
40;3;8;55.0128884;82.9537841;138256652;209.152176181782;-74;-47.5585413504938;-78.9076412825162;-47.5584982368812;-80.3978637903673;4.90764128251618;6.39786379036731
40;3;8;55.0128674;82.953815;138256652;211.679799708987;-74;-47.6719019173208;-69.8526806156303;-47.671856702019;-73.4902677165368;-4.14731938436969;-0.509732283463208
40;3;8;55.0128674;82.953815;138256652;211.679799708987;-74;-47.6719019173208;-62.085088794097;-47.671856702019;-73.6548998761853;-11.914911205903;-0.345100123814703
40;3;8;55.0128476;82.9538456;138256652;214.165271888246;-74;-47.7820915184466;-63.7157536985255;-47.7820443365597;-70.1976741616256;-10.2842463014745;-3.80232583837436
40;3;8;55.0128476;82.9538456;138256652;214.165271888246;-74;-47.7820915184466;-77.5196698312899;-47.7820443365597;-70.5606708541406;3.51966983128989;-3.43932914585936
40;3;8;55.0128263;82.9538809;138256652;216.997194127379;-74;-47.9061290432276;-68.2763969623656;-47.9060797586453;-69.0384456829872;-5.7236030376344;-4.96155431701281
40;3;8;55.0128263;82.9538809;138256652;216.997194127379;-74;-47.9061290432276;-77.391352565621;-47.9060797586453;-79.4947296994316;3.39135256562099;5.49472969943157
40;3;8;55.0128086;82.9539034;138256652;218.943304298178;-74;-47.9904549373846;-75.3238844287839;-47.9904039406521;-64.3564069737281;1.32388442878391;-9.6435930262719
40;3;8;55.0128086;82.9539034;138256652;218.943304298178;-74;-47.9904549373846;-68.9463826046233;-47.9904039406521;-65.8984272526661;-5.05361739537666;-8.10157274733388
40;3;8;55.0127915;82.9539398;138256652;221.724397906111;-74;-48.1096983394747;-69.3824023719845;-48.1096456566014;-85.9389481082137;-4.61759762801549;11.9389481082137
40;3;8;55.0127915;82.9539398;138256652;221.724397906111;-74;-48.1096983394747;-80.9774841065871;-48.1096456566014;-79.4855547409621;6.97748410658713;5.48555474096206
40;3;8;55.0127829;82.9539931;138256652;225.253139019081;-74;-48.2589104669671;-66.0676358269419;-48.2588568275705;-74.3744979830132;-7.93236417305806;0.374497983013185
40;3;8;55.0127829;82.9539931;138256652;225.253139019081;-74;-48.2589104669671;-67.5938543469272;-48.2588568275705;-83.9871637195277;-6.4061456530728;9.98716371952773
40;3;8;55.0127668;82.9540293;138256652;227.993397532889;-74;-48.3732125207485;-76.399820354789;-48.3731572955934;-74.6796233281559;2.39982035478899;0.679623328155856
40;3;8;55.0127668;82.9540293;138256652;227.993397532889;-74;-48.3732125207485;-76.9161533930907;-48.3731572955934;-83.9595457352247;2.91615339309065;9.95954573522471
40;3;8;55.0127514;82.9540534;138256652;229.98013780236;-74;-48.4552458184288;-64.0849391439667;-48.4551891197015;-63.9978321410578;-9.91506085603326;-10.0021678589422
40;3;8;55.0127345;82.9540814;138256652;232.261069669099;-74;-48.5485749180903;-74.3947030460903;-48.5485166078871;-84.4008473477765;0.394703046090342;10.4008473477765
